,sofifa_id,height_cm,weight_kg,player_positions,weak_foot,work_rate,body_type,attacking_finishing,attacking_heading_accuracy,attacking_volleys,skill_dribbling,skill_long_passing,movement_reactions,movement_balance,power_stamina,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_sliding_tackle,F,Mid,D,Gk
56,207865,183,75,2,3,Medium/High,Normal,33,84,31,64,82,85,68,76,35,80,86,59,68,47,86,87,67.5,75.61538461538461,84.28571428571429,9.4
58,199556,165,60,2,4,Medium/High,Normal,60,55,64,90,89,85,94,77,58,89,84,71,87,64,95,83,76.0,84.53846153846153,81.0,12.8
65,180206,178,72,2,4,Medium/Medium,Normal,56,60,72,86,87,84,81,79,82,70,78,68,88,79,86,70,77.5,83.84615384615384,78.85714285714286,8.4
99,170890,180,75,2,2,Medium/High,Lean,60,68,72,76,77,84,79,90,67,86,86,72,74,56,82,86,76.0,80.6923076923077,84.57142857142857,9.6
103,191043,180,80,2,3,High/Medium,Normal,55,76,68,80,71,84,77,91,72,82,82,70,70,60,82,84,77.0,80.23076923076923,85.14285714285714,8.0
136,177610,192,86,2,3,Low/Medium,Normal,43,87,58,59,74,85,49,72,62,91,88,51,74,52,80,85,66.5,72.0,81.85714285714286,9.0
189,207566,187,83,2,4,Medium/Medium,Normal,52,74,50,78,85,74,47,83,55,78,81,63,81,60,89,72,70.0,76.92307692307692,78.14285714285714,9.0
199,205498,180,67,2,3,Medium/Medium,Lean,57,56,71,81,87,81,72,85,62,79,76,68,87,84,79,70,73.0,80.23076923076923,74.71428571428571,11.2
226,193474,174,66,2,3,Medium/High,Lean,50,69,32,76,77,83,80,90,66,85,89,65,65,54,80,83,71.5,76.92307692307692,82.85714285714286,9.4
232,200888,188,83,2,3,Medium/High,Normal,60,77,55,76,81,75,60,82,63,83,83,69,73,57,84,71,74.5,78.0,80.14285714285714,11.6
275,200536,181,83,2,2,High/Medium,Normal,48,54,49,83,73,81,75,79,40,73,75,73,78,56,79,78,72.5,77.84615384615384,78.57142857142857,11.6
277,200724,180,76,2,4,Medium/High,Normal,32,80,38,55,61,77,69,78,28,78,81,37,53,45,73,84,59.5,67.46153846153847,80.57142857142857,10.2
287,53302,184,83,2,4,Medium/High,Normal,50,81,74,64,80,80,72,70,72,83,87,55,73,80,92,80,70.0,75.23076923076923,81.28571428571429,9.8
292,158963,178,63,2,4,Medium/High,Normal,50,54,78,80,82,80,78,71,75,83,82,50,80,72,80,74,70.5,78.53846153846153,77.57142857142857,10.4
314,193525,187,80,2,3,High/High,Lean,56,72,52,80,71,80,61,87,58,77,78,76,73,53,76,84,75.5,78.46153846153847,81.57142857142857,12.8
325,230225,181,82,2,3,High/Medium,Normal,56,83,63,60,58,78,63,76,61,86,82,58,50,62,70,84,66.5,66.3076923076923,77.71428571428571,14.6
326,230258,175,70,2,4,High/Medium,Lean,53,70,57,77,78,80,80,93,59,75,82,58,77,77,81,80,71.0,77.38461538461539,80.85714285714286,12.4
331,235569,181,76,2,3,Medium/Medium,Normal,59,56,59,88,79,84,86,80,65,81,75,70,83,60,87,69,77.5,81.07692307692308,76.42857142857143,9.2
338,208333,184,82,2,4,Medium/Medium,Normal,60,72,65,80,81,78,69,87,75,86,82,76,78,60,80,80,77.0,80.38461538461539,81.14285714285714,10.8
343,199503,185,82,2,3,Medium/Medium,Normal,53,62,50,70,85,75,61,79,79,92,71,75,82,63,74,69,73.5,77.6923076923077,73.71428571428571,9.2
350,226790,183,74,2,4,Medium/High,Lean,50,76,66,74,73,79,67,92,68,85,84,67,67,55,77,83,71.5,75.38461538461539,81.0,10.8
356,207862,191,89,2,3,Medium/Medium,Lean,55,85,53,62,71,79,49,74,46,69,80,55,69,67,71,77,67.5,71.3076923076923,78.42857142857143,9.2
366,206304,186,80,2,2,Medium/High,Normal,55,75,50,62,79,78,63,90,77,88,80,66,73,91,76,73,70.5,74.84615384615384,77.28571428571429,11.2
391,184134,183,76,2,2,Medium/Medium,Normal,54,72,56,68,76,77,57,83,68,84,83,59,68,54,76,81,69.5,74.0,79.0,1.0
394,185221,187,78,2,3,Medium/High,Lean,48,72,54,68,76,83,62,85,73,84,83,53,69,58,84,82,68.5,74.07692307692308,80.0,10.4
396,191202,194,85,2,3,Medium/Medium,Lean,59,74,73,76,84,77,47,69,74,78,82,69,73,64,81,75,73.5,77.15384615384616,78.42857142857143,11.4
407,245299,181,82,2,3,High/Medium,Normal,56,80,63,60,58,76,63,60,61,86,82,58,50,62,70,82,66.5,65.6923076923077,76.57142857142857,58.6
420,222400,176,74,2,3,Medium/High,Normal,55,50,50,84,80,80,82,80,62,65,75,64,81,51,83,67,71.5,78.0,73.28571428571429,11.2
423,226161,184,74,2,3,Medium/Medium,Lean,39,61,44,68,82,78,69,74,56,70,82,65,76,53,79,72,66.5,74.15384615384616,75.57142857142857,10.2
435,219809,189,85,2,3,Medium/Medium,Lean,37,71,36,76,75,77,57,82,50,87,82,60,73,45,68,82,67.5,74.0,78.71428571428571,12.2
441,207439,180,75,2,4,Medium/Medium,Normal,55,60,71,78,82,74,76,79,77,83,72,74,82,57,74,75,75.0,79.0,75.71428571428571,9.6
446,222028,186,72,2,3,Medium/Medium,Lean,41,65,56,74,83,80,65,77,52,64,82,56,77,52,83,73,66.0,76.0,77.0,10.8
455,205069,170,67,2,3,High/Medium,Normal,60,53,59,84,73,83,88,80,62,71,78,79,78,53,79,78,76.0,80.6923076923077,78.42857142857143,11.2
474,198118,188,77,2,3,Medium/High,Normal,49,83,49,63,75,79,50,75,66,81,84,61,67,50,75,82,68.5,72.07692307692308,78.57142857142857,12.2
476,203605,182,81,2,2,High/High,Normal,28,71,57,76,69,82,66,86,41,78,72,72,68,54,78,77,68.0,74.0,78.85714285714286,11.0
477,204024,191,76,2,3,High/High,Lean,46,58,58,71,72,84,54,93,42,78,81,70,73,47,78,74,66.5,74.61538461538461,76.28571428571429,8.8
491,142754,174,73,2,3,Low/High,Normal,42,66,51,58,79,78,80,75,55,87,85,51,68,60,81,80,66.0,73.61538461538461,79.57142857142857,6.8
503,169595,174,76,2,3,Medium/High,Normal,57,62,64,80,66,82,79,76,67,87,81,68,73,57,76,83,74.0,78.3076923076923,81.57142857142857,11.0
512,176930,166,63,2,3,Medium/High,Stocky,55,63,66,70,83,76,91,84,77,80,79,65,79,66,76,70,71.5,77.23076923076923,75.85714285714286,2.0
514,177457,185,81,2,3,Medium/High,Lean,59,78,57,71,74,83,64,78,71,78,82,69,75,52,83,82,73.5,77.0,81.57142857142857,8.8
515,177458,186,81,2,4,Medium/High,Lean,39,78,54,58,69,78,61,75,62,82,83,49,65,34,81,81,63.0,67.84615384615384,77.0,11.4
520,181098,180,72,2,3,Medium/Medium,Lean,45,67,57,68,77,82,72,65,53,75,79,61,76,61,85,80,65.0,73.61538461538461,77.85714285714286,11.2
527,187052,182,80,2,3,Medium/Medium,Normal,56,61,56,73,81,78,65,81,67,83,82,59,74,68,80,72,70.0,76.0,76.71428571428571,12.0
530,187936,196,75,2,3,Medium/Medium,Lean,50,78,55,70,71,78,31,81,54,80,81,70,73,57,85,74,68.5,73.92307692307692,77.0,13.6
551,201956,196,85,2,3,Medium/High,Lean,37,89,26,62,73,78,36,69,55,80,79,48,62,43,73,77,64.5,68.46153846153847,77.0,12.0
557,206413,181,76,2,3,Medium/High,Normal,53,69,56,64,77,78,73,82,70,88,82,60,69,52,81,77,69.5,74.38461538461539,78.14285714285714,12.0
559,215057,183,83,2,3,Medium/High,Normal,48,66,49,81,81,76,64,88,66,81,76,58,75,59,85,73,69.5,76.0,75.85714285714286,13.0
563,230234,177,75,2,4,High/High,Stocky,58,59,58,75,75,78,77,89,64,81,79,54,73,61,68,77,69.5,75.53846153846153,78.14285714285714,11.0
564,230347,178,69,2,4,Medium/Medium,Lean,51,69,47,77,71,80,81,89,53,69,77,72,75,61,82,81,71.0,76.76923076923077,78.57142857142857,12.0
566,245300,177,75,2,4,High/High,Stocky,58,59,58,75,75,78,77,89,64,81,79,54,73,61,68,77,69.5,75.53846153846153,78.14285714285714,11.0
567,245308,178,69,2,4,Medium/Medium,Lean,51,69,47,77,71,80,81,89,53,69,77,72,75,61,82,81,71.0,76.76923076923077,79.28571428571429,12.0
569,227535,187,72,2,4,Medium/Medium,Lean,52,62,60,84,79,76,67,87,62,78,68,64,76,64,80,64,72.0,77.76923076923077,74.71428571428571,11.0
575,228092,195,94,2,3,Medium/High,Normal,34,79,48,77,79,75,45,87,55,72,77,65,72,46,83,67,70.0,75.0,77.85714285714286,10.2
576,228251,186,77,2,3,High/Medium,Normal,60,71,69,77,80,73,70,74,74,71,70,75,80,67,79,72,75.5,77.84615384615384,74.42857142857143,10.6
585,235212,181,73,2,2,High/Low,Lean,59,64,48,83,68,77,75,84,62,67,76,71,63,46,72,71,75.0,77.0,77.57142857142857,9.2
586,235424,177,68,2,3,Medium/Medium,Lean,42,60,37,69,73,78,79,83,54,79,79,55,73,56,79,79,65.5,73.15384615384616,77.42857142857143,9.8
587,235945,184,74,2,3,Medium/High,Lean,59,42,44,72,84,77,63,73,69,69,77,60,80,55,74,74,68.5,76.07692307692308,73.42857142857143,10.4
606,212977,190,88,2,3,Medium/Medium,Normal,50,82,48,65,67,74,64,70,55,74,79,52,71,39,69,77,67.0,70.84615384615384,77.42857142857143,12.0
608,214947,186,83,2,3,Medium/High,Normal,40,71,53,75,74,76,65,83,71,85,79,65,72,40,72,71,71.0,75.3076923076923,78.85714285714286,11.2
616,202335,190,90,2,3,Medium/High,Normal,52,81,51,65,77,77,38,65,72,91,79,53,64,70,77,82,67.5,70.61538461538461,78.14285714285714,10.6
618,210455,170,70,2,3,High/High,Normal,48,70,44,75,61,75,79,81,47,82,79,65,66,46,73,80,68.5,73.0,78.14285714285714,9.0
620,213991,179,70,2,4,Medium/High,Normal,56,65,56,70,76,73,76,87,71,84,80,59,71,58,70,79,70.0,75.0,78.42857142857143,11.4
622,228336,187,77,2,3,Medium/Medium,Lean,58,61,53,78,81,82,65,70,55,50,73,71,82,50,81,51,72.5,76.61538461538461,70.71428571428571,10.6
632,207993,183,85,2,2,High/Medium,Stocky,57,74,55,75,62,74,55,79,58,93,73,72,74,44,72,78,73.5,74.76923076923077,78.85714285714286,11.2
641,202429,187,85,2,3,High/High,Normal,39,71,52,73,70,77,63,92,55,72,75,68,66,40,68,77,68.5,73.07692307692308,78.14285714285714,10.8
643,205923,182,76,2,3,Medium/High,Lean,58,66,48,75,70,78,68,84,52,76,79,64,75,54,74,80,71.0,75.92307692307692,79.14285714285714,9.0
656,202884,186,75,2,4,Medium/Medium,Lean,60,66,59,82,71,76,61,89,68,68,76,74,72,59,76,78,75.0,78.07692307692308,78.57142857142857,13.0
712,192679,176,72,2,2,Medium/Medium,Lean,56,71,51,68,77,78,74,76,63,75,81,67,63,66,69,80,71.0,73.92307692307692,78.57142857142857,11.6
724,201144,186,80,2,4,Medium/Medium,Lean,54,66,66,72,82,78,64,75,74,76,78,62,77,68,72,76,69.5,75.3076923076923,75.71428571428571,10.4
727,203843,173,68,2,3,High/Medium,Normal,59,71,59,71,72,76,76,78,71,84,79,59,62,67,74,81,71.0,74.3076923076923,79.0,11.2
733,208230,189,84,2,3,Medium/High,Normal,59,76,55,71,73,76,58,75,72,92,79,65,66,66,76,75,70.5,73.07692307692308,77.57142857142857,9.8
734,208334,185,75,2,3,Medium/Medium,Normal,55,71,51,74,74,80,67,78,61,71,79,62,72,65,76,77,72.0,76.61538461538461,79.57142857142857,11.0
744,230201,177,75,2,3,High/Medium,Normal,48,69,49,78,75,81,75,85,56,62,77,57,61,41,54,76,68.0,74.0,77.85714285714286,13.0
750,245302,175,70,2,4,High/Medium,Lean,53,70,57,77,75,78,80,91,59,75,76,58,77,77,81,77,70.0,76.3076923076923,78.14285714285714,12.4
755,234378,185,80,2,3,Medium/High,Lean,31,69,33,67,74,74,58,78,42,78,77,52,70,30,76,78,61.0,69.84615384615384,74.85714285714286,9.4
773,218339,178,68,2,4,High/High,Lean,58,43,59,84,74,77,88,89,73,68,77,66,80,55,62,52,73.0,77.38461538461539,69.71428571428571,10.6
774,221491,189,78,2,3,Medium/Medium,Normal,30,79,30,69,55,75,54,75,31,69,79,53,59,37,65,76,60.5,67.46153846153847,76.57142857142857,11.0
787,212811,184,85,2,3,Medium/Medium,Normal,57,68,68,80,77,73,72,75,78,70,72,71,74,68,68,69,74.5,77.07692307692308,74.42857142857143,12.0
789,213629,187,74,2,3,Medium/High,Lean,49,69,54,74,75,74,68,83,68,79,73,58,75,75,78,74,69.5,74.23076923076923,76.42857142857143,12.2
791,214394,179,71,2,3,Medium/High,Lean,30,59,22,66,65,77,73,93,39,84,80,60,65,32,76,74,62.0,70.6923076923077,78.14285714285714,14.2
797,227234,185,83,2,3,Low/High,Normal,42,76,43,60,68,75,68,85,58,85,82,51,67,48,68,74,64.5,69.92307692307692,77.42857142857143,13.4
805,211382,184,81,2,3,Medium/High,Normal,45,65,52,72,73,76,66,82,62,80,81,52,65,51,67,70,67.0,71.6923076923077,76.28571428571429,10.4
818,205391,187,80,2,3,Medium/Medium,Normal,48,75,55,80,78,76,61,84,77,77,74,74,75,55,78,71,73.5,77.07692307692308,77.14285714285714,10.2
821,212153,190,77,2,2,Medium/High,Lean,54,73,68,75,75,72,62,85,73,74,78,68,73,40,74,76,71.0,74.76923076923077,76.0,8.4
824,220093,187,74,2,2,Medium/High,Lean,59,76,58,79,70,77,72,86,58,73,70,77,67,47,71,77,75.0,76.07692307692308,77.71428571428571,10.8
835,208620,181,76,2,5,Low/Medium,Normal,53,56,54,75,83,73,68,77,69,72,75,62,74,68,74,71,70.0,75.38461538461539,73.85714285714286,8.6
838,236690,190,93,2,5,Medium/High,Normal,44,73,38,66,67,73,67,71,63,78,79,58,62,50,78,77,65.0,68.0,74.42857142857143,7.6
847,201505,183,81,2,3,Medium/High,Normal,53,75,56,64,65,72,52,64,60,78,80,59,69,50,69,74,68.0,70.23076923076923,75.0,10.8
849,202325,170,68,2,4,Medium/High,Normal,26,57,48,71,76,75,84,94,30,82,78,62,70,58,72,72,62.0,72.3076923076923,75.57142857142857,11.8
856,213400,178,68,2,3,High/High,Lean,60,43,49,77,74,72,77,93,66,72,64,68,68,49,76,68,71.5,75.53846153846153,71.42857142857143,9.8
863,143121,179,71,2,4,Medium/Medium,Lean,60,50,77,82,80,76,75,67,74,69,65,74,81,74,79,60,74.5,77.53846153846153,69.14285714285714,10.8
877,169705,179,80,2,3,High/Medium,Normal,50,68,43,77,70,76,69,73,54,73,76,63,51,52,76,80,68.0,72.61538461538461,77.14285714285714,12.8
886,173306,181,76,2,5,High/High,Normal,57,65,68,80,76,79,68,75,66,78,76,71,75,52,81,79,73.5,77.84615384615384,78.42857142857143,11.4
895,178250,179,77,2,3,Medium/Medium,Normal,57,75,67,63,74,75,67,74,71,89,79,59,65,61,73,77,68.0,70.53846153846153,75.42857142857143,10.8
905,183376,184,80,2,3,Low/High,Normal,49,73,53,66,72,75,58,75,62,91,84,50,61,56,75,75,64.0,69.23076923076923,76.28571428571429,12.8
919,188005,183,75,2,3,Medium/High,Lean,58,82,52,64,74,78,63,55,54,83,84,66,76,48,75,73,70.0,72.23076923076923,75.14285714285714,11.0
920,188041,179,72,2,3,Medium/Medium,Normal,56,51,58,74,78,75,76,85,72,78,78,69,75,63,81,74,71.0,76.46153846153847,75.28571428571429,11.8
926,189423,188,80,2,4,High/Medium,Normal,54,75,44,71,73,71,66,91,71,82,79,66,66,62,74,74,70.5,74.0,77.85714285714286,9.4
929,189606,184,86,2,3,Medium/High,Normal,39,69,50,65,71,74,64,87,39,84,77,62,64,59,75,75,66.0,71.6923076923077,77.85714285714286,11.0
932,190149,182,80,2,3,High/Medium,Lean,59,59,57,76,69,80,72,91,56,77,76,76,66,55,75,74,73.0,75.3076923076923,76.57142857142857,10.2
943,193532,171,65,2,4,Medium/High,Stocky,31,68,58,63,67,80,92,83,59,89,79,58,65,58,80,76,65.0,71.6923076923077,78.42857142857143,8.4
950,197242,186,85,2,3,Medium/High,Normal,42,75,40,65,80,74,52,75,69,80,76,52,68,78,80,71,68.0,72.76923076923077,76.0,10.0
951,198200,180,82,2,4,Low/High,Normal,50,72,40,67,79,78,65,76,62,78,80,60,74,50,80,75,68.0,73.3076923076923,75.85714285714286,12.4
954,200215,179,75,2,3,High/High,Normal,55,66,55,72,72,78,74,75,65,85,79,69,74,51,75,74,71.0,74.3076923076923,76.42857142857143,9.8
968,207939,185,74,2,3,Medium/High,Lean,59,68,62,69,73,71,40,90,65,87,77,67,71,60,75,76,68.5,73.38461538461539,75.71428571428571,11.4
969,208461,185,76,2,3,Medium/High,Normal,60,75,64,71,75,80,74,90,77,82,81,69,73,83,78,78,73.5,76.23076923076923,78.85714285714286,12.0
984,230184,168,65,2,3,High/Medium,Lean,45,60,55,76,59,80,90,76,68,73,75,69,68,49,76,76,70.5,74.07692307692308,75.28571428571429,11.8
987,230431,187,85,2,3,High/High,Normal,56,62,45,72,77,81,55,76,72,77,76,52,72,67,67,76,69.0,73.3076923076923,76.71428571428571,9.6
989,245295,168,65,2,3,High/Medium,Lean,45,60,55,76,59,80,90,76,68,73,75,69,68,49,76,76,70.5,73.84615384615384,75.28571428571429,11.8
990,245297,177,75,2,3,High/Medium,Normal,48,69,49,78,75,81,75,85,56,62,77,57,61,41,54,76,67.0,73.23076923076923,76.85714285714286,55.0
1028,237238,193,88,2,3,High/High,Normal,60,76,59,73,77,73,50,80,66,78,75,65,72,59,76,70,71.5,74.15384615384616,74.85714285714286,8.4
1041,235134,188,73,2,3,Medium/Medium,Normal,59,63,55,69,76,74,72,79,65,68,75,62,73,58,70,70,71.0,73.61538461538461,74.28571428571429,9.0
1045,210736,175,77,2,3,High/Medium,Lean,43,60,44,78,66,77,73,74,77,66,78,71,51,55,72,73,70.5,73.3076923076923,75.14285714285714,10.4
1059,229857,168,62,2,4,Medium/Medium,Normal,48,30,49,75,80,70,87,72,72,71,70,65,80,73,76,73,66.5,74.46153846153847,69.85714285714286,9.6
1062,232665,175,74,2,3,Medium/Medium,Normal,49,62,43,69,78,72,75,67,57,82,74,60,68,50,63,74,65.0,70.76923076923077,72.42857142857143,11.0
1065,204612,187,77,2,3,Low/Medium,Lean,56,63,63,72,78,75,66,81,64,71,76,56,76,51,77,70,68.5,74.0,73.57142857142857,11.0
1076,207537,177,86,2,4,High/Medium,Stocky,54,62,57,80,66,78,79,73,66,74,77,61,68,53,76,72,73.0,75.23076923076923,76.71428571428571,10.6
1077,207790,184,84,2,4,High/Medium,Normal,35,73,41,65,71,76,65,68,71,75,80,50,65,47,75,73,64.5,69.6923076923077,75.71428571428571,11.6
1079,212187,177,77,2,3,High/Medium,Normal,43,59,43,73,74,77,74,85,46,72,71,62,70,41,71,74,69.0,73.92307692307692,75.42857142857143,11.4
1088,225659,185,80,2,4,Medium/Medium,Lean,43,70,47,59,72,73,52,77,59,83,78,50,63,53,68,76,62.0,68.15384615384616,74.42857142857143,11.8
1091,237556,191,91,2,2,Medium/Medium,Normal,19,82,30,45,67,68,46,73,53,84,77,21,51,24,74,76,52.0,58.38461538461539,72.28571428571429,9.2
